,review,rating
0,Taie foarte bine  se pare ca povestea cu lamele care se ascut singure  chiar functioneaza  Sunt foarte incantat ca pot sa-mi tund barba asa cum vreau  datorita pieptanului reglabil pe 11 lungimi,1
1,Am cantarul de o saptamana si sunt foarte multumita de el,1
2,Cea mai minunata si deosebita plita indispensabilă  Este ideala pentru orice casa si foarte usor de întreținut  Recomand cu drag,1
3,Toate porturile sunt gigabit  Functioneaza foarte bine  nu se blocheaza/restarteaza ca alte switchuri din aceasta gama ale altor producatori Il recomand,1
4,La inceput am avut dubii ca nu o sa fiu multumit Insa la prima folosire a aparatului lama tunde fara sa te irite sa smulga este o placere sa te bierberesti  Rade ca un big ce nu simti vreun disconfort !,1
5,Un aparat de stilizat barba ideal  tunde fin si este silentios usor de tinut in mana  posibilitati multiple de tundere pe diferite trepte autonomie mare la baterie vine insotit de o gama larga de accesorii    fiind usor de   stilizat si tuns barba,1
6,Supeeer    !,1
7,O imagine f clara  sunet extraordinar  bass  un TV care se mișcă f bine  canalele se schimba instant  netflix  YouTube merge f rapid  peste alte branduri mult mai cunoscute  sunt f mulțumit  achiziționat,1
8,Un produs excelent ! Nu are deloc zgomot deranjant  chiar este foarte ok  Recomand acest produs pentru ca are intradevar calitate si precizie  Raport pret calitate corect,1
9,arata foarte bine si isi face treaba la fel de bine  Momentan il am montat in picioare pana cand o sa dau doua gauri sa il montez direct pe perete  Il folosesc intr-o camera unde nu am tras gaze si nu am calorifer si ma gandesc sa nu mai pun deloc,1
10,Design fain  funcționează foarte bine atât tastatura cât și mouse-ul  Raport bun calitate - preț  Sunt mulțumită de acest produs!,1
11,Am achizitionat acest Monitor in data de 07 11 2019  este un monitor foarte bun de gaming  si are si o textura foarte buna   Recomand acest Monitro,1
12,Un produs de calitate la un preț accesibil,1
13,Recomand cu incredere  Este f bun si in cazul in care folositi gheata   Acest review a fost postat initial pe site-ul Philips,1
14,O periuta f buna  Recomand!,1
15,Bună ziua    Aș vrea să vă întreb dacă va fi disponibilă și versiunea Kyrat  Collectors Edition pentru acest joc     Multumesc frumos  Laci      Raspuns:  In curand va fi disponibila si aceasta versiune    Multumim   Echipa Altex,1
16,Foarte buna masina isi face treaba foarte bine  Sunt foarte multumita de ea  Recomand!!!,1
17,Foarte bune  Recomand !,1
18,Statia merge foarte bine   se regleaza automat si nu am are zgomote deranjante  O am montata in bord la un Passat sub radioul original si se asorteaza foarte bine  Culoarea afisajului se poate schimba si arata foarte bine noaptea   Recomand,1
19,Deoarece ador cafeau cu lapte  aceste pliculete ma ajuta sa imi intretin perfect aparatul  iar gustul cafelei sa nu se schimbe  Daca sunteti fani cafea cu lapte  vi le RECOMAND!!!,1
20,Am acest cuptor de cateva luni si sunt foarte multumita de el si il recomand!,1
21,Se instalează rapid  Raport calitate preţ   Foarte bun  Nu se blochează Recomand,1
22,E superb Nu se aude ABSOLUT nimic  Este supermega silentios,1
23,Am cumpărat laptop-ul acum două zile! Mi-a fost puțin teamă  deoarece a fost resigilat  dar pot spune că arată impecabil  nu are nici cea mai mică zgarietura  pixeli morți  etc! Se mișcă foarte bine  pornește in maxim 3 secunde  cât despre configurație  este genială! Merită toți banii! Pot spune ca cam făcut o investitie foarte buna! Recomand! 5 stele din partea mea! O zi buna!😊,1
24,Este suficient de puternica pentru o locuinta la bloc!,1
25,Awesome gaming  headphones :D worth every penny!,1
26,Televizorul este ok cu exceptia SMRT-ului   Se putea Sa se miste Mai bine pe net dar se pare ca nu   ,1
27,Il am de cel putin 4 ani si inca arata impecabil   Tin sa mentionez ca il curat regulat :D  Si fac asta pentru ca mananc destul de des la PC  XD  Recomand acest produs,1
28,Sunt foarte multumit silentios si isi face foarte bine treaba Recomand,1
29,Este un gamepad bun  acumulatorul ma tine o saptamana cate 1 ora pe zi  butoanele sunt OK   Recomand,1
30,super tare,1
31,Un fierbator foarte practic  Aspect placut si design simplu  Timp de fierbere pentru 1 7 Litri aproximativ 5 minute  Pentru 2-3 cani de apa dureaza cam 2 minute  Usor de intretinut   Da  recomand acest produs Acest review a fost postat initial pe site-ul Philips,1
32,Espressor genial Cafea este pe gustul meu  are foarte multe optiuni  dupa planul fiecaruia  A fost alegerea perfecta Da  recomand acest produs Acest review a fost postat initial pe site-ul Philips,1
33,Am facut upgrade de la GeForce 650 ti Gainward la aceasta placa si momentan sunt foarte multumit(o am de 3 zile)  Ruleaza excelent,1
34,Super sistem   L-am prins la o promoție cu 245 Lei  Ce pot spune   Își merită banii din plin   L-am cumpărat de prin luna Februarie și pot spune că se aude super bine  prin toate porturile audio( Usb  Card  Cablu RCA  Bluetooth  Radio)  Mai jos un videoclip cu acest sistem   https://www youtube com/watch?v=yFABHn7hmdQ&t=136s,1
35,Foarte bun  daca il folositi pe perioada indelungata  sa luati baterie mai mare  sau sa aveti una de schimb,1
36,Produs ok!,1
37,Recomand cu drag acest produs  il folosesc aproape zilnic si ma ajuta sa gatesc mancare sanatoasa si foooarte gustoasa pentru familia mea  Sunt la inceputul diversificarii si este de mare ajutor  Este usor de utilizat si de curatat   Acest review a fost postat initial pe site-ul Philips,1
38,Raport pret-calitate super  Materiale bune  presetari facute pentru fiecare tip de joc  asamblare usoara  freesync  Recoand,1
39,foarte bun si precis in acelasi timp vasul este din plastic se inchide automat daca nu este folosit,1
40,Pretul e ok  bratara la fel  Dupa incarcarea bateriei  la 5 zile de utilizare  a ajuns abia la 70%,1
41,Achizitie verificata ! Excelent! Raport calitate  pret  foarte bun  Aspectuos  si usor de curatat  Sincer  nu ma asteptam! Il recomand!  5 stelute !,1
42,Super ok  calitate foarte bună  super multumit - recomand,1
